名稱,編號,生成地點,侵臺次數,侵(近)臺日期,發布時間,解除時間,發布報數,最大強度,近中心最大風速,侵臺路徑分類,登陸地段,動態,災情,颱風災害專區網頁連結
潭美  (TRAMI ),201312,"127.3, 20.5",僅一次,2013年 08月 21日,海上 2013-08-20 11:30:00陸上 2013-08-20 20:30:00,陸上 2013-08-22 08:30:00海上 2013-08-22 08:30:00,16,輕度,30 (公尺/秒),1,---,8月18日琉球南方海面生成，並往東南移動，19日移速減慢呈現滯留並逐漸轉為向北移動，20日17時轉為向西北方向並朝臺灣東北部及北部海面前進，21日14時再轉為向西進行，暴風圈進入臺灣北部及東北部，21日晚間其中心逐漸通過北部海面，暴風圈壟罩臺灣中部以北、東北部及東部陸地，22日2時由馬祖西南方進入福建。,颱風帶來全臺出現豪雨，新竹縣、苗栗縣及台中市等地區降下超大豪雨，西半部其他各地及宜蘭縣亦降下大豪雨。颱風造成西半部地區淹水，北部及中部山區多處道路坍方，山區鐵路及航空交通中斷。供電供水方面，新竹縣及南投縣電力系統受損，大約6萬戶停電；新竹、苗栗及嘉義地區輸水管線遭土石流沖斷，造成約2萬戶停水等災情，共計有10人受傷，農損約9百萬元。,颱風災害專區網頁連結
天兔 (USAGI),201319,"131.5, 17.6",僅一次,2013年 09月 21日,海上 2013-09-19 23:30:00陸上 2013-09-20 08:30:00,陸上 2013-09-22 08:30:00海上 2013-09-22 14:30:00,22,強烈,55 (公尺/秒),5,---,生成後向西轉西南西後轉向西北西朝臺灣東南部前進，21日減弱為中度颱風並持續向西北西行進遠離臺灣。,受颱風影響東南部降下豪雨，造成部分地區淹水、道路坍方交通中斷。農損約新臺幣1.9億元。,颱風災害專區網頁連結
杜蘇芮 (DOKSURI),201206,"130.8, 13.9",僅一次,2012年 06月 28日,海上 2012-06-28 05:30:00,海上 2012-06-29 08:30:00,10,輕度,23 (公尺/秒),---,---,生成後向西北西方向移動，通過巴士海峽後朝東沙島海面前進。,未有重大災情發生。,颱風災害專區網頁連結
海葵 (HAIKUI),201211,"141.2, 23.8",僅一次,2012年 08月 07日,海上 2012-08-06 11:30:00,海上 2012-08-07 17:30:00,11,中度,35 (公尺/秒),---,---,生成後向西移動，8日凌晨登陸中國浙江。,未有重大災情發生。,颱風災害專區網頁連結
杰拉華 (JELAWAT),201217,"131.5, 13.5",僅一次,2012年 09月 28日,海上 2012-09-27 02:30:00,海上 2012-09-28 20:30:00,15,強烈,55 (公尺/秒),---,---,生成後先向西南之後轉西北方向朝臺灣東方海面接近，28日2時逐漸轉向東北方向遠離臺灣。,未有重大災情發生。,颱風災害專區網頁連結
啟德 (KAI-TAK),201213,"128.2, 16.5",僅一次,2012年 08月 15日,海上 2012-08-14 14:30:00,海上 2012-08-15 17:30:00,10,輕度,20 (公尺/秒),---,---,生成後向西移動，15日8時進入菲律賓呂宋島北部，進入巴士海峽南方後朝西北西方向移動遠離臺灣。,未有重大災情發生。,颱風災害專區網頁連結
蘇拉 (SAOLA),201209,"127.0, 14.5",僅一次,2012年 08月 02日,海上 2012-07-30 20:30:00陸上 2012-07-31 20:30:00,陸上 2012-08-03 14:30:00海上 2012-08-03 14:30:00,31,中度,38 (公尺/秒),2,花蓮秀林鄉,生成後以北北西方向移動，2日3時20分於花蓮秀林鄉附近登陸，之後呈打轉現象，2日14時左右掠過臺灣東北角進入北部海面，3日6時左右於馬祖北方進入福建。,受颱風影響降下豪雨，造成多處地區發生土石流、淹水、道路中斷等災情。計有7人死亡，農損逾12 億元。,颱風災害專區網頁連結
泰利 (TALIM),201205,"111.8, 18.6",僅一次,2012年 06月 20日,海上 2012-06-19 05:30:00陸上 2012-06-19 20:30:00,陸上 2012-06-21 02:30:00海上 2012-06-21 05:30:00,17,輕度,25 (公尺/秒),9,---,生成後以東北方向朝臺灣海峽移動，21日5時於彭佳嶼東北方海面減弱為熱帶性低氣壓。,受颱風影響，中南部地區降下豪雨，造成嘉義、臺南、高雄及屏東等地區淹水。計有1人死亡，農損逾7億元。,颱風災害專區網頁連結
天秤 (TEMBIN),201214,"124.8, 17.7",第 1 次,2012年 08月 24日,海上 2012-08-21 14:30:00陸上 2012-08-27 02:30:00,陸上 2012-08-28 20:30:00海上 2012-08-28 23:30:00,33,中度,45 (公尺/秒),特殊,屏東牡丹鄉附近,形成後向北行進，至鵝鑾鼻東方海面後向北北西轉西方向移動，至臺東東方近海轉西南西撲向恆春半島，24日5時於屏東牡丹鄉附近登陸，穿越恆春半島後向西南西方向離去。,受颱風影響，恆春半島、東部及臺東離島地區災情慘重，造成房屋損毀、道路中斷、電力中斷、土石流、淹水等災情。農損逾2.5億元。,颱風災害專區網頁連結
天秤 (TEMBIN),201214,"124.8, 17.7",第 2 次,2012年 08月 28日,海上 2012-08-21 14:30:00陸上 2012-08-27 02:30:00,陸上 2012-08-28 20:30:00海上 2012-08-28 23:30:00,21,中度,35 (公尺/秒),特殊,---,25日解除警報後續以西南西轉向偏南方向移動，26日晚間至27日凌晨因颱風向東轉東北東方向移動，本局於26日中午再次發布警報，28日凌晨通過鵝鑾鼻南方近海後朝東北轉北北東方向遠離臺灣。,受颱風影響，恆春半島、東部及臺東離島地區災情慘重，造成房屋損毀、道路中斷、電力中斷、土石流、淹水等災情。農損逾2.5億元。,颱風災害專區網頁連結
艾利 (AERE),201101,"126.4, 12.9",僅一次,2011年 05月 10日,海上 2011-05-09 05:30:00,海上 2011-05-10 17:30:00,13,輕度,23 (公尺/秒),---,---,5月7日14時於菲律賓東方海面生成，初期移動方向偏西，8日接近菲律賓群島時，轉為向西北至北北西方向移動。9日上午5時30分發布海上颱風警報，颱風中心於11時左右進入呂宋島，移動方向由北北西轉為偏北，23時左右，颱風中心離開呂宋島。10日11時之後，轉為偏東北方向移動， 17時30分解除海上颱風警報，隨後於12日2時，在日本南方海面減弱為熱帶性低氣壓。,---,颱風災害專區網頁連結
米雷 (MEARI),201105,"130.0, 13.2",僅一次,2011年 06月 25日,海上 2011-06-23 23:30:00,海上 2011-06-25 14:30:00,14,輕度,28 (公尺/秒),---,---,6月22日14時於菲律賓東方海面生成，往北北西方向移動並經過臺灣東方海面，其暴風圈於25日通過臺灣東北部海面與北部海面，27日8時於黃海減弱為熱帶性低氣壓。,---,颱風災害專區網頁連結
梅花 (MUIFA),201109,"135.1, 11.9",僅一次,2011年 08月 06日,海上 2011-08-04 17:30:00,海上 2011-08-06 11:30:00,15,中度,43 (公尺/秒),---,---,7月28日14時於菲律賓東方海面生成，初期往西移動，隨後轉為偏北移動，8月2日起逐漸轉為偏西北方向移動，通過日本那霸南方海面後，逐漸轉為偏北移動，其中心於8日晚上進入北韓，9日8時於中國東北減弱為熱帶性低氣壓。,---,颱風災害專區網頁連結
南瑪都 (NANMADOL ),201111,"127.3, 16.0",僅一次,2011年 08月 29日,海上 2011-08-27 05:30:00陸上 2011-08-27 20:30:00,陸上 2011-08-31 08:30:00海上 2011-08-31 08:30:00,34,強烈,53 (公尺/秒),4,臺東縣大武附近,8月23日20時於菲律賓東方海面生成，初期往西移動，隨後轉為偏西北移動，27日其中心通過菲律賓呂宋島東北角邊緣，轉為偏北北西移動。颱風中心於29日4時20分左右由臺東縣大武附近登陸，13時左右在臺南附近出海，進入臺灣海峽，緩慢向西北移動，31日8時於臺灣海峽減弱為熱帶性低氣壓。,---,颱風災害專區網頁連結
桑達 (SONGDA),201102,"137.6, 9.4",僅一次,2011年 05月 28日,海上 2011-05-27 02:30:00,海上 2011-05-28 14:30:00,13,強烈,55 (公尺/秒),---,---,5月22日2時於菲律賓東方海面生成，初期移動方向偏西北西，25日以後逐漸轉向偏北北西轉偏北方向移動，通過臺灣東部近海後，逐漸轉為向東北方向加速移動，29日14時於日本南方海面轉變為溫帶氣旋。,---,颱風災害專區網頁連結
凡那比 (FANAPI ),201011,"127.6, 20.7",僅一次,2010年 09月 19日,海上 2010-09-17 23:30:00陸上 2010-09-18 05:30:00,陸上 2010-09-20 14:30:00海上 2010-09-20 14:30:00,22,中度,45 (公尺/秒),4,花蓮豐濱,生成後向東北緩慢移動，增強為中度颱風後緩慢向北轉北北西移動，之後轉為偏西移動，暴風圈接觸台灣陸地後逐漸轉向西南西至西南方向移動，19日8時40分在花蓮縣豐濱鄉附近登陸，18時左右由臺南附近進入臺灣海峽，20日7時左右由福建進入大陸。,受颱風影響，南部、東部地區降下豪雨，造成臺南、高雄及屏東等地區淹水，部分地區鐵、公路交通受阻。計有2人死亡，農損逾45億元。,颱風災害專區網頁連結
萊羅克 (LIONROCK),201006,"116.5, 19.2",僅一次,2010年 09月 01日,海上 2010-08-31 20:30:00陸上 2010-09-01 02:30:00,陸上 2010-09-02 08:30:00海上 2010-09-02 14:30:00,15,輕度,23 (公尺/秒),9,---,生成後先向西北轉偏北方向移動，後因受到8號颱風南修影響，移動速度緩慢，31日20時後速度加快並向東北轉北移動，9月1日暴風圈接觸臺灣南部陸地後轉向偏西北移動，2日7時左右由金門西南方進入福建。,南部及東南部地區有輕微災情。,颱風災害專區網頁連結
梅姬 (MEGI),201013,"141.0, 11.7",僅一次,2010年 10月 22日,海上 2010-10-21 02:30:00陸上 2010-10-21 17:30:00,陸上 2010-10-23 23:30:00海上 2010-10-23 23:30:00,24,中度,48 (公尺/秒),9,---,生成後先向西北轉西北西方向移動，強度逐漸增為強烈颱風之後由西轉西南西方向，穿過呂宋島後減弱為中度颱風並逐漸由西北西轉向偏北移動，進入臺灣海峽後轉向北北西移動，23日13時10分左右由福建進入大陸。,"受東北季風及颱風影響，北臺灣降下豪雨，造成宜蘭地區淹水、土石流及蘇花公路多處坍方等嚴重災情。計有38人死亡，農損約1 億 3,590 萬元。",颱風災害專區網頁連結
莫蘭蒂 (MERANTI),201010,"119.3, 21.2",僅一次,2010年 09月 09日,海上 2010-09-09 10:00:00陸上 2010-09-09 11:30:00,陸上 2010-09-10 08:30:00海上 2010-09-10 11:30:00,10,輕度,23 (公尺/秒),---,---,生成後偏北移動，10日4時左右由福建進入大陸。,未有重大災情發生。,颱風災害專區網頁連結
南修 (NAMTHEUN),201008,"121.9, 25.8",僅一次,2010年 08月 31日,海上 2010-08-30 22:30:00陸上 2010-08-30 22:30:00,陸上 2010-08-31 19:15:00海上 2010-08-31 19:15:00,9,輕度,18 (公尺/秒),---,---,生成後向西緩慢移動，後因受到6號颱風萊羅克影響，逐漸轉向西南西移動，進入臺灣海峽後減弱為熱帶性低氣壓。,未有重大災情發生。,颱風災害專區網頁連結
蓮花 (LINFA ),200903,"116.4, 18.1",僅一次,2009年 06月 21日,海上 2009-06-19 20:30:00陸上 2009-06-20 23:30:00,陸上 2009-06-22 08:30:00海上 2009-06-22 08:30:00,21,輕度,28 (公尺/秒),9,金門,生成後颱風中心先滯留打轉，而後向北緩慢移動，進入臺灣海峽南部時轉向北北東移動，於21日22時左右由金門附近進入大陸。,未有重大災情發生，農損約7.4億元。,颱風災害專區網頁連結
莫拉菲 (MOLAVE ),200906,"125.0, 18.0",僅一次,2009年 07月 17日,海上 2009-07-16 22:00:00,海上 2009-07-18 08:30:00,13,輕度,28 (公尺/秒),---,---,生成後向西北西移動，通過臺灣海峽南部後朝東沙島東北方前進。,---,---
莫拉克 (MORAKOT),200908,"136.0, 21.0",僅一次,2009年 08月 08日,海上 2009-08-05 20:30:00陸上 2009-08-06 08:30:00,陸上 2009-08-10 05:30:00海上 2009-08-10 05:30:00,36,中度,40 (公尺/秒),3,花蓮市附近,5日20時增強為中度颱風並向西移動，進入臺灣東部近海時受地形影響，速度略為減慢並轉向西北，7日23時50分左右在花蓮市附近登陸，8日14時左右在桃園附近出海，於9日18時30分左右在馬祖北方進入福建。,受颱風及西南氣流影響，中南部、東部多處地區降下刷新歷史紀錄的雨量，引發嚴重水患，造成臺南、高雄、屏東及臺東等縣重大災情，鐵、公路多處路基流失造成交通中斷，多處地區發生嚴重土石流災害。計有673人死亡，26人失蹤，農損逾195億元。,颱風災害專區網頁連結
芭瑪 (PARMA),200917,"139.7, 8.3",僅一次,2009年 10月 05日,海上 2009-10-03 05:30:00陸上 2009-10-04 05:30:00,陸上 2009-10-05 23:30:00海上 2009-10-06 17:30:00,29,中度,43 (公尺/秒),特殊,---,生成後向西北移動，3日於呂宋島東北部登陸後持續向西北移動，進入巴士海峽後中心呈現滯留打轉，5日晚間轉向東南移動，6日於呂呂宋島西北部再次登陸，7日於呂宋島東北部出海，8日轉向西南3度登陸呂宋島，9日於呂宋島西部出海朝海南島前進。,受颱風外圍環流及東北季風共伴效應影響，東北部及東部地區降下超大豪雨，造成宜蘭地區嚴重災情，多處淹水、交通中斷。計有1人死亡，農損約1.3億元。,---
鳳凰 (FUNG-WONG),200808,"130.8, 21.8",僅一次,2008年 07月 28日,海上 2008-07-26 11:30:00陸上 2008-07-27 02:30:00,陸上 2008-07-29 11:30:00海上 2008-07-29 11:30:00,25,中度,43 (公尺/秒),3,靜浦與長濱之間,生成後緩慢向西移動，27日轉向西北西方向移動，28日6時50分於靜浦與長濱之間登陸，持續向西北移動，14時30分在彰化縣出海，23時10分進入大陸福建。,颱風外圍環流伴隨西南氣流為東部及南部帶來強風豪雨，造成多處地區淹水。計有2人死亡，農損逾13億元，以花蓮最為嚴重。,---
哈格比 (HAGUPIT),200814,"132.8, 13.8",僅一次,2008年 09月 22日,海上 2008-09-21 14:30:00陸上 2008-09-22 02:30:00,陸上 2008-09-23 02:30:00海上 2008-09-23 08:30:00,15,中度,45 (公尺/秒),---,---,生成後向西南西後轉西北方向移動，增強為中度颱風後轉向西北西移動，暴風圈於22日17時左右進入恆春半島，23日2時左右脫離，並快速向西北西移動遠離臺灣。,無重大災情發生。,---
薔蜜 (JANGMI),200815,"136.3, 12.2",僅一次,2008年 09月 28日,海上 2008-09-26 23:30:00陸上 2008-09-27 08:30:00,陸上 2008-09-29 17:30:00海上 2008-09-29 23:30:00,25,強烈,53 (公尺/秒),2,宜蘭縣南澳附近,生成後向西北方向移動，28日15時40分左右於宜蘭縣南澳附近登陸，17時左右減弱為中度颱風並向南偏移呈現打轉現象，23時左右朝北北西移動，29日4時20分左右在桃園附近出海，8時左右減弱為輕度颱風並轉向北北東移動遠離臺灣。,強風豪雨造成嚴重災情，多處地區淹水、交通中斷，全台逾百萬戶停電，以登陸點宜蘭最為慘重。計有2人死亡，2人失蹤，農損約25億元。,---
卡玫基 (KALMAEGI),200807,"123.6, 18.0",僅一次,2008年 07月 17日,海上 2008-07-16 14:30:00陸上 2008-07-17 02:30:00,陸上 2008-07-18 20:30:00海上 2008-07-18 23:30:00,20,中度,33 (公尺/秒),2,宜蘭縣南部,生成後移動緩慢近似滯留，16日轉向東北方向移動，之後轉向北北西方向朝臺灣東部沿海靠近，17日21時40分於宜蘭縣南部登陸，18日7時20分左右於桃園附近出海，並持續向西北方向移動。,受颱風外圍環流伴隨西南氣流影響，連日豪雨造成中南部嚴重水患。計有20人死亡，6人失蹤，農損逾12億元。,---
如麗 (NURI ),200812,"133.4, 15.8",僅一次,2008年 08月 20日,海上 2008-08-19 11:30:00,海上 2008-08-21 08:30:00,16,中度,40 (公尺/秒),---,---,生成後向西北西方向移動，於巴士海峽轉向西北朝香港前進。,---,---
